,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
16,MetaDrive-Tut-Hard-v0,335,13.54807282015261,17026,165,50.73739814758301,1.0509347915649414,,1.1465356349945068,0.0,1.0667991638183594,1.0381529331207275,0.05095148831605911
17,MetaDrive-Tut-Hard-v0,320,18.07994556854658,18053,185,56.32587671279907,1.78739595413208,-1.883644700050354,0.09079903364181519,0.0,1.7103631496429443,1.7647991180419922,0.1651599258184433
18,MetaDrive-Tut-Hard-v0,309,25.709109480506587,19028,198,61.48132300376892,2.3474936485290527,,2.7281157970428467,0.0,2.4037132263183594,2.4950523376464844,0.08500909805297852
19,MetaDrive-Tut-Hard-v0,299,32.3725928014705,20051,210,67.01406669616699,3.246769428253174,-3.6951375007629395,0.9097042679786682,0.0,3.369946002960205,3.2547409534454346,0.1921764314174652
20,MetaDrive-Tut-Hard-v0,290,38.36656653869484,21032,223,72.42658424377441,4.209766864776611,,1.5237629413604736,0.0,4.290258884429932,4.1702728271484375,0.21799057722091675
21,MetaDrive-Tut-Hard-v0,281,48.14959608472773,22088,233,78.45556569099426,5.1524577140808105,,3.7142302989959717,0.0,5.216609001159668,5.215348243713379,0.21372109651565552
22,MetaDrive-Tut-Hard-v0,275,54.62309761729905,23014,243,83.49444198608398,6.012861251831055,,5.392572402954102,0.0,6.128353595733643,6.194705963134766,0.21522031724452972
23,MetaDrive-Tut-Hard-v0,269,62.29964985730271,24046,253,89.32659840583801,7.521600723266602,,4.167206764221191,0.0,7.530926704406738,7.5829057693481445,0.28413018584251404
24,MetaDrive-Tut-Hard-v0,264,70.2448961035481,25020,262,94.71713471412659,8.147987365722656,,3.416179656982422,0.0,7.91472864151001,8.11307144165039,0.23604519665241241
25,MetaDrive-Tut-Hard-v0,259,76.90851137025906,26029,273,100.1579372882843,9.103789329528809,-9.859986305236816,6.399683952331543,0.0,9.421285629272461,9.156963348388672,0.2514077425003052
26,MetaDrive-Tut-Hard-v0,255,84.02022081483933,27016,283,105.63278293609619,10.609330177307129,,3.651655673980713,0.0,10.703089714050293,10.603535652160645,0.32922977209091187
27,MetaDrive-Tut-Hard-v0,252,86.0000748541214,28053,294,110.92328643798828,12.630586624145508,-12.938133239746094,3.977696657180786,0.0,12.740415573120117,13.0045166015625,0.44598063826560974
28,MetaDrive-Tut-Hard-v0,249,89.19021709780483,29216,305,117.07971501350403,13.676860809326172,,4.0868024826049805,0.0,13.640138626098633,13.609356880187988,0.445718914270401
29,MetaDrive-Tut-Hard-v0,246,91.31743953539508,30151,313,122.30787301063538,14.994126319885254,-15.346590042114258,7.954619407653809,0.0,15.239280700683594,15.058887481689453,0.4285997748374939
30,MetaDrive-Tut-Hard-v0,243,96.32683571768261,31062,321,127.45324110984802,15.315078735351562,,10.245555877685547,0.0,15.581384658813477,15.691463470458984,0.31746938824653625
31,MetaDrive-Tut-Hard-v0,241,95.36335471899606,32073,331,132.8108606338501,16.55490493774414,-16.967193603515625,5.866752624511719,0.0,16.140583038330078,16.125965118408203,0.38473257422447205
32,MetaDrive-Tut-Hard-v0,238,98.18212347384332,33027,339,138.19088459014893,17.786401748657227,-18.128589630126953,6.5645856857299805,0.0,18.147703170776367,18.099292755126953,0.42380690574645996
33,MetaDrive-Tut-Hard-v0,236,97.15327904069285,34061,349,143.95564913749695,19.948766708374023,-20.840538024902344,1.6293631792068481,0.0,20.053298950195312,19.949853897094727,0.5573679208755493
34,MetaDrive-Tut-Hard-v0,234,98.65997739198363,35047,358,149.65503406524658,21.978313446044922,-22.329063415527344,2.488651752471924,0.0,22.00128746032715,22.052310943603516,0.6137083768844604
35,MetaDrive-Tut-Hard-v0,232,99.8521026968992,36070,367,155.45612025260925,21.450275421142578,,4.332947731018066,0.0,21.168983459472656,21.37407875061035,0.5253688097000122
