,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,current_q2,reward
11,Pendulum-v1,413,-810.5664335006618,12199,61,29.489710569381714,83.51014709472656,19.024932861328125,-85.25796508789062,-85.24385070800781,-85.10127258300781,-3.9247703552246094
12,Pendulum-v1,411,-760.3711518143359,13199,66,32.09914708137512,75.13880920410156,16.050901412963867,-76.2425537109375,-76.0699462890625,-76.04457092285156,-3.3532400131225586
13,Pendulum-v1,409,-734.4674652492379,14199,71,34.71236062049866,80.80245208740234,199.38937377929688,-81.25608825683594,-82.63264465332031,-82.7696762084961,-3.4940378665924072
14,Pendulum-v1,405,-696.0522917305896,15199,76,37.47844338417053,88.69773864746094,12.463434219360352,-90.55293273925781,-89.41059875488281,-89.035888671875,-3.58642840385437
15,Pendulum-v1,402,-660.5595566509843,16199,81,40.235106468200684,71.38990020751953,113.23985290527344,-73.31914520263672,-72.64759826660156,-72.83197021484375,-2.9125776290893555
16,Pendulum-v1,401,-626.399200436598,17199,86,42.88651752471924,72.73405456542969,634.7073974609375,-73.09530639648438,-75.00923156738281,-74.99687194824219,-2.760810136795044
17,Pendulum-v1,399,-604.8616560280426,18199,91,45.529059648513794,87.72216033935547,12.540056228637695,-89.22477722167969,-90.24946594238281,-89.98786926269531,-3.3125648498535156
18,Pendulum-v1,399,-584.6871548734612,19199,96,48.10753607749939,65.48955535888672,9.8663330078125,-67.793701171875,-67.61428833007812,-67.65660095214844,-2.599370241165161
19,Pendulum-v1,398,-555.060787001451,20199,101,50.70513868331909,75.08967590332031,15.40814208984375,-77.0250244140625,-75.87246704101562,-75.81818389892578,-2.8207266330718994
20,Pendulum-v1,397,-496.81926810276656,21199,106,53.29255557060242,66.62721252441406,9.199031829833984,-69.0472183227539,-69.46231079101562,-69.16505432128906,-2.5724546909332275
21,Pendulum-v1,396,-430.8510981512058,22199,111,56.02393889427185,63.87016296386719,9.662742614746094,-65.76622009277344,-65.18809509277344,-65.2298355102539,-2.3913450241088867
22,Pendulum-v1,395,-366.50258403592045,23199,116,58.671074628829956,73.10829162597656,21.134185791015625,-74.89390563964844,-76.08489990234375,-75.78880310058594,-2.760300397872925
23,Pendulum-v1,393,-319.17246928560365,24199,121,61.46931576728821,69.66908264160156,11.803004264831543,-71.81352996826172,-71.83070373535156,-71.7641830444336,-2.669375419616699
24,Pendulum-v1,392,-267.60890383968217,25199,126,64.22738361358643,64.76158905029297,9.24435806274414,-66.88520812988281,-66.48976135253906,-66.44534301757812,-2.450984001159668
25,Pendulum-v1,391,-236.82887357816261,26199,131,66.93409132957458,57.54563903808594,445.6379699707031,-59.155330657958984,-59.58675003051758,-59.76784133911133,-2.2983856201171875
26,Pendulum-v1,391,-206.47176437937685,27199,136,69.55361270904541,55.01910400390625,12.380366325378418,-58.060768127441406,-56.63661575317383,-56.93840026855469,-2.148684024810791
27,Pendulum-v1,390,-185.6281407180812,28199,141,72.16422367095947,53.16282272338867,7.7160444259643555,-54.569236755371094,-55.185123443603516,-54.99830627441406,-1.8733140230178833
28,Pendulum-v1,390,-174.96044205659257,29199,146,74.79769778251648,65.06681060791016,13.639592170715332,-67.07918548583984,-66.64595794677734,-66.7122573852539,-2.5592803955078125
29,Pendulum-v1,389,-178.7827809414049,30199,151,77.47905707359314,60.762229919433594,8.163808822631836,-62.25868606567383,-61.93194580078125,-61.827056884765625,-2.2344930171966553
30,Pendulum-v1,389,-179.58155620214885,31199,156,80.13899850845337,50.63933181762695,7.980114936828613,-51.525299072265625,-51.705814361572266,-51.66938781738281,-1.7506725788116455
31,Pendulum-v1,388,-178.41686342295534,32199,161,82.79041934013367,55.95363235473633,60.61914825439453,-56.823890686035156,-57.27979278564453,-57.76081085205078,-2.007294178009033
32,Pendulum-v1,388,-178.28731150842438,33199,166,85.53594493865967,56.041839599609375,489.7704772949219,-56.68975067138672,-57.535736083984375,-57.70335006713867,-2.100040912628174
33,Pendulum-v1,387,-167.79162942715723,34199,171,88.2818853855133,52.428741455078125,310.40985107421875,-53.57392120361328,-54.675071716308594,-54.627708435058594,-2.1200618743896484
34,Pendulum-v1,387,-171.41205325416905,35199,176,90.94288110733032,53.45526885986328,8.026708602905273,-54.76974868774414,-54.68752670288086,-55.05253601074219,-2.0951731204986572
